,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6.489084339141845,0.30253938210960474,0.30902490615844724,0.024546882228777295,200,1,50,"{'max_features': 200, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.05754653360539091,-0.04431945758304321,-0.043739720717522176,-0.06706246591061801,-0.04838708522717819,-0.052211052608750495,0.008918467324880854,117
1,10.85480465888977,0.3187703260156747,0.4057964324951172,0.048305585915778056,200,1,100,"{'max_features': 200, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.05740781986801501,-0.044198386166614964,-0.04340405404841468,-0.06670224132865862,-0.0483594053312599,-0.05201438134859264,0.008870273687378293,114
2,21.224023485183714,0.6665062706421455,0.5539062976837158,0.07851678326384778,200,1,200,"{'max_features': 200, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.057414720697638845,-0.04435765835009004,-0.04329556689512599,-0.06680344054138578,-0.04846765228099547,-0.05206780775304722,0.00888918539145233,115
3,31.249452066421508,0.4107695962720574,0.7549414157867431,0.09145408533683248,200,1,300,"{'max_features': 200, 'min_samples_leaf': 1, 'n_estimators': 300}",-0.057274103842040264,-0.04404132977391929,-0.043273616025730176,-0.06678199135801952,-0.04831441181504688,-0.051937090562951226,0.008937308556403336,113
4,5.384577846527099,0.2525635233670862,0.35202732086181643,0.038796191526660556,200,2,50,"{'max_features': 200, 'min_samples_leaf': 2, 'n_estimators': 50}",-0.05512281425145204,-0.040602654010753476,-0.03980098303779948,-0.06420693388956698,-0.044402362988879014,-0.048827149635690195,0.009432559623529893,98
5,9.184042739868165,0.2511779523111262,0.3511947154998779,0.016953839672421894,200,2,100,"{'max_features': 200, 'min_samples_leaf': 2, 'n_estimators': 100}",-0.05425240562089435,-0.040649154351578336,-0.03942358816207603,-0.06381418377726826,-0.04426894499399867,-0.04848165538116313,0.009268565889896867,95
6,17.032339668273927,0.91928726454126,0.4260375499725342,0.03086078806051668,200,2,200,"{'max_features': 200, 'min_samples_leaf': 2, 'n_estimators': 200}",-0.05443076257195279,-0.040579779531703386,-0.03927042519549067,-0.06372669545204053,-0.044186803850291535,-0.04843889332029578,0.009311564136135922,91
7,24.605751943588256,1.3981265057644827,0.6068509101867676,0.10697363545195893,200,2,300,"{'max_features': 200, 'min_samples_leaf': 2, 'n_estimators': 300}",-0.05448757585712065,-0.04059196101375595,-0.03932517330134849,-0.0637245464878783,-0.04420202423160796,-0.04846625617834227,0.009303970211074094,94
8,5.208223867416382,0.20468797622659016,0.38810276985168457,0.051241762846166355,200,3,50,"{'max_features': 200, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.053502658029447855,-0.0404864585397554,-0.03869372710920142,-0.06254437419164148,-0.04342546006470424,-0.047730535586950076,0.00900490362722972,51
9,8.822169017791747,0.39913183571341543,0.38021421432495117,0.06646856683292772,200,3,100,"{'max_features': 200, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.05374607533272882,-0.0403750451473419,-0.038513160433986275,-0.0626710415890544,-0.04339246193121871,-0.04773955688686602,0.009135503910271075,52
10,15.906709289550781,0.669985700095408,0.4492800712585449,0.06239623772451391,200,3,200,"{'max_features': 200, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.053447040105363365,-0.04023770009367644,-0.03844974667402655,-0.06260360523986079,-0.04328066865833004,-0.04760375215425143,0.009120122771906864,40
11,22.74249963760376,0.9053832933016859,0.5386613368988037,0.048548288487012335,200,3,300,"{'max_features': 200, 'min_samples_leaf': 3, 'n_estimators': 300}",-0.05339308317225247,-0.040314298173975055,-0.03843894017493593,-0.06262880844523323,-0.04317751065431203,-0.04759052812414174,0.009121286395798093,37
12,4.572559070587158,0.12127392359163686,0.29819884300231936,0.018709313120758585,200,4,50,"{'max_features': 200, 'min_samples_leaf': 4, 'n_estimators': 50}",-0.05332307014012537,-0.04027456213469839,-0.038474272626125655,-0.06225562125405901,-0.04282446212115721,-0.047430397655233124,0.009023786826464875,25
13,8.378381204605102,0.14836990435257796,0.36907238960266114,0.056564153357036115,200,4,100,"{'max_features': 200, 'min_samples_leaf': 4, 'n_estimators': 100}",-0.05297197537235121,-0.04026479783891454,-0.03832541682954132,-0.06193359728901221,-0.042890193682527285,-0.04727719620246931,0.008897128508278151,22
14,15.712612056732178,0.6760773450156693,0.4271528720855713,0.03087317312978839,200,4,200,"{'max_features': 200, 'min_samples_leaf': 4, 'n_estimators': 200}",-0.05293778166168773,-0.0400452664770553,-0.03825178507429936,-0.061944035936426334,-0.042884388343075765,-0.047212651498508895,0.008946431689830524,20
15,22.54582929611206,0.9817790832065445,0.6189357280731201,0.10212155035727091,200,4,300,"{'max_features': 200, 'min_samples_leaf': 4, 'n_estimators': 300}",-0.05282524014728155,-0.04023444266130503,-0.03819152937367573,-0.062093873404198634,-0.042854618586403326,-0.047239940834572856,0.008966790808725022,21
16,4.784244632720947,0.17294927144072356,0.2971655368804932,0.00849719134445224,200,5,50,"{'max_features': 200, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.05307075713571541,-0.04097064894968999,-0.03828539496847035,-0.061906531567362096,-0.04295491166236875,-0.04743764885672132,0.008795012763644307,26
