,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,28.537780904769896,0.22493597536035745,0.3233014106750488,0.011906484422986531,0.001,3,200,600,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 200, 'n_estimators': 600}",-0.07570260088041429,-0.05974365526610299,-0.057159909120645884,-0.060468819011842125,-0.056965011929291653,-0.062007999241659395,0.006985329517178958,225
1,37.679085636138915,0.1902471088409841,0.35483717918395996,0.019129167348159462,0.001,3,200,800,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 200, 'n_estimators': 800}",-0.07257216329760202,-0.05684106483507623,-0.054574665251982825,-0.06008218144416915,-0.055158214736052556,-0.05984565791297656,0.006645343473720775,219
2,46.882613039016725,0.42941100564521734,0.3896810054779053,0.026885830756676676,0.001,3,200,1000,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 200, 'n_estimators': 1000}",-0.07022989695823058,-0.05469997382382343,-0.05282413860882002,-0.059899222395562855,-0.05374394770032985,-0.05827943589735335,0.006458803268327382,207
3,39.468458366394046,0.25690112658171227,0.30382161140441893,0.01712377267113599,0.001,3,300,600,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 300, 'n_estimators': 600}",-0.0750433063057234,-0.05904445401099258,-0.0565918780095738,-0.060417769132779665,-0.056620907437038355,-0.06154366297922156,0.006906630855588307,224
4,52.71061744689941,0.7576878246057103,0.3415502071380615,0.03069867746737807,0.001,3,300,800,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 300, 'n_estimators': 800}",-0.0720590093533863,-0.05629535213221257,-0.05409206554686322,-0.06013616884683867,-0.05484915316843608,-0.05948634980954737,0.006622362031152361,215
5,66.98635835647583,3.6790656115392206,0.3635113716125488,0.027400273699543627,0.001,3,300,1000,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 300, 'n_estimators': 1000}",-0.06974559456099207,-0.05424517914091657,-0.0523417127172494,-0.06009969519658069,-0.05354617867173163,-0.05799567205749408,0.0064547507610503785,202
6,49.42612519264221,0.36975610721566954,0.2913662910461426,0.016693512523617084,0.001,3,400,600,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 400, 'n_estimators': 600}",-0.07480928383385282,-0.05887587301471689,-0.05637771833562237,-0.0605347563471761,-0.056592037861713365,-0.061437933878616305,0.0068594660826804925,223
7,65.73817610740662,0.3880426791377399,0.32249960899353025,0.019186294859971215,0.001,3,400,800,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 400, 'n_estimators': 800}",-0.0719171140157236,-0.05616751898946491,-0.05398429974871505,-0.06026972928224219,-0.05484212341632024,-0.0594361570904932,0.006602742116398959,214
8,81.95644612312317,0.5766461385783744,0.35609960556030273,0.027630051494934582,0.001,3,400,1000,"{'learning_rate': 0.001, 'max_depth': 3, 'max_features': 400, 'n_estimators': 1000}",-0.06971784798016174,-0.054188822503716615,-0.052309072933119906,-0.06025585627866494,-0.05355230709540743,-0.05800478135821413,0.006466690521302674,203
9,36.30136666297913,0.09206572845006142,0.3475369453430176,0.016639748427156556,0.001,4,200,600,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 200, 'n_estimators': 600}",-0.07392939864625157,-0.058333666024780795,-0.05580378408164277,-0.06009069862439961,-0.05590614864532336,-0.060812739204479625,0.006750972725153087,222
