,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,12.07086091041565,0.2713191353541165,0.32016563415527344,0.01073723081229976,0.001,2,100,600,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 100, 'n_estimators': 600}",-0.08119075082901342,-0.06513896735427799,-0.06197492041039153,-0.06150779598337674,-0.060425192175634974,-0.06604752535053893,0.0077323817751027025,3200
1,13.896500730514527,0.28673174528459994,0.33655152320861814,0.019837143916876524,0.001,2,100,700,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 100, 'n_estimators': 700}",-0.08024224355940189,-0.0639644011412851,-0.06112468233525118,-0.06128011868195658,-0.059253908661564395,-0.06517307087589183,0.0076827320111087765,3199
2,15.532625865936279,0.4206531940332091,0.3450805187225342,0.02565195406915553,0.001,2,100,800,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 100, 'n_estimators': 800}",-0.07893641815622526,-0.062464188789816126,-0.059586311358505256,-0.061017121338893414,-0.05842297183341183,-0.06408540229537038,0.007548513646441026,3198
3,17.541098642349244,0.48557355887061276,0.35548014640808107,0.020476023368865157,0.001,2,100,900,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 100, 'n_estimators': 900}",-0.07784272094583247,-0.06161157833922243,-0.05926648022456588,-0.0607890534138823,-0.05781459593537873,-0.06346488577177636,0.007305742343028308,3195
4,19.877995777130128,0.501775296524943,0.36908111572265623,0.023154112421398636,0.001,2,100,1000,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 100, 'n_estimators': 1000}",-0.07675788783068828,-0.06010701083249553,-0.05782192178414961,-0.0606138340280616,-0.05702123562177121,-0.06246437801943324,0.007272775466082342,3191
5,19.966624879837035,0.6692537014412062,0.302322244644165,0.007462508418838681,0.001,2,200,600,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 200, 'n_estimators': 600}",-0.07834166120303629,-0.062122043238452204,-0.05946672389727898,-0.060912677131620185,-0.0584027550877667,-0.06384917211163087,0.007355372563317429,3197
6,23.567334985733034,0.7246222587171834,0.32266716957092284,0.01793313897340331,0.001,2,200,700,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 200, 'n_estimators': 700}",-0.07671609438974897,-0.06072182718327965,-0.05795758220470559,-0.060622259339042694,-0.05749985378486623,-0.06270352338032863,0.007130400564094692,3193
7,26.80604076385498,0.7784420672550091,0.3340085506439209,0.020167469953515014,0.001,2,200,800,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 200, 'n_estimators': 800}",-0.07555565392954929,-0.05926333484063032,-0.05689660030286413,-0.06042807725182723,-0.0565706759361919,-0.061742868452212586,0.0070556033884093886,3187
8,29.519499397277833,1.05190461055895,0.33914737701416015,0.022244186228244086,0.001,2,200,900,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 200, 'n_estimators': 900}",-0.07426067443478854,-0.058381282707370155,-0.05581512959478703,-0.06030409915305584,-0.05601955790610876,-0.06095614875922206,0.006853692648869201,3180
9,33.30239610671997,0.8861972483794107,0.3621781349182129,0.03087102644457191,0.001,2,200,1000,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 200, 'n_estimators': 1000}",-0.07328745227402801,-0.057272978842351545,-0.05516808019377411,-0.06023142167278393,-0.05540726069085945,-0.06027343873475941,0.00675445701720956,3169
10,28.72148952484131,0.6849373113964385,0.3046332836151123,0.016101138311126414,0.001,2,300,600,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 300, 'n_estimators': 600}",-0.07683174458505401,-0.06064890166799411,-0.05794639267140204,-0.06071751356086188,-0.05760279349062737,-0.06274946919518788,0.007161138494589468,3194
11,32.62102832794189,1.1890350302868762,0.3130463123321533,0.016472951834181036,0.001,2,300,700,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 300, 'n_estimators': 700}",-0.07523610735269712,-0.05916432721928808,-0.056729008924003545,-0.06053306764131293,-0.05669744544947084,-0.0616719913173545,0.00693901940797796,3186
12,37.805529069900516,1.2665941241744003,0.3259854793548584,0.022494970810373445,0.001,2,300,800,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 300, 'n_estimators': 800}",-0.07410626819178698,-0.057961219002070914,-0.05555148770662481,-0.06041381525328036,-0.05595356220726665,-0.060797270472205935,0.006874582063303904,3176
13,42.56748113632202,0.9407882357615361,0.339860200881958,0.022327405137925426,0.001,2,300,900,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 300, 'n_estimators': 900}",-0.0728892559844114,-0.05699786051844391,-0.054768893388389576,-0.060351447654694766,-0.05537876477484988,-0.06007724446415791,0.006692678605825633,3168
14,46.25950417518616,1.857641718325959,0.3477184772491455,0.023033023098902504,0.001,2,300,1000,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 300, 'n_estimators': 1000}",-0.07199671126820115,-0.05619408445809075,-0.05410339033575426,-0.06030024781536738,-0.05481259639170532,-0.05948140605382377,0.006615598029477538,3157
15,37.01937465667724,0.2933988838600382,0.2991438388824463,0.014338404842937037,0.001,2,400,600,"{'learning_rate': 0.001, 'max_depth': 2, 'max_features': 400, 'n_estimators': 600}",-0.07600646485558785,-0.05999979644905033,-0.057351072161565216,-0.06074352851485525,-0.05732791657094145,-0.062285755710400015,0.006997045155977733,3190
