,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.831550884246826,0.16671454413314296,0.29879469871520997,0.01078793198919375,25,1,25,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 25}",-0.058551185886111565,-0.044372724722781746,-0.04367281560297899,-0.06292767475391549,-0.04884762537448995,-0.05167440526805554,0.007736366670607255,1946
1,4.065291452407837,0.21925368398810052,0.31183838844299316,0.027715005525322592,25,1,50,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.05775154967559154,-0.04407848379111829,-0.04343242927328366,-0.06257099631412077,-0.04841340002317087,-0.05124937181545702,0.007629239280366737,1929
2,5.291457557678223,0.09295269118944782,0.3591639041900635,0.027245091075675163,25,1,75,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 75}",-0.05711306607637504,-0.043616429973814666,-0.043072334226592075,-0.06069984621931831,-0.04814577320255603,-0.050529489939731234,0.007153478825105637,1907
3,6.544702196121216,0.12782474172010233,0.3879904270172119,0.025884103904285354,25,1,100,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.056999163719666235,-0.04370756401739681,-0.043274989780024815,-0.060919339737152294,-0.048105005577065235,-0.05060121256626108,0.0071389706154007665,1909
4,7.9258739948272705,0.07964915747624701,0.43988842964172364,0.020829208270952245,25,1,125,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 125}",-0.057038949445614204,-0.04363104484027923,-0.04320219256945795,-0.06061459879555312,-0.04795195801086035,-0.05048774873235297,0.0070992291755859836,1904
5,9.207988166809082,0.1171118438225141,0.4122005462646484,0.024271435645185167,25,1,150,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 150}",-0.05699267038063523,-0.04344176123941443,-0.04305045700556262,-0.06053847908173744,-0.04793524411175924,-0.05039172236382179,0.007138061483445568,1903
6,11.927412939071655,0.11997563734072471,0.4769627094268799,0.012561060947251788,25,1,200,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.057219334756368735,-0.043357485762144356,-0.043045758135296354,-0.06074766403365722,-0.04808607678555377,-0.05049126389460409,0.007246681348284644,1905
7,17.327816200256347,0.13871803470672517,0.5822135448455811,0.03781087911216691,25,1,300,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 300}",-0.057089355626202314,-0.04353998028708986,-0.043207314251659995,-0.06086362383310911,-0.04788756333359412,-0.050517567466331084,0.007201010048701583,1906
8,22.729202222824096,0.5563695247202803,0.6673403263092041,0.08409605010874367,25,1,400,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 400}",-0.05707033183285318,-0.04336270556648158,-0.043105834407740296,-0.06050433459121207,-0.04787710788472464,-0.05038406285660235,0.007150985716465866,1902
9,27.840846729278564,0.4329038619048129,0.7486452102661133,0.0683452200498031,25,1,500,"{'max_features': 25, 'min_samples_leaf': 1, 'n_estimators': 500}",-0.056714136519360366,-0.04326822346295924,-0.043046193421756446,-0.06037819684138684,-0.047989737770322345,-0.050279297603157046,0.007072622690740378,1901
10,1.5663850784301758,0.024664302264030775,0.2628350257873535,0.021549854179793927,25,2,25,"{'max_features': 25, 'min_samples_leaf': 2, 'n_estimators': 25}",-0.051624221103583064,-0.03904706814810376,-0.03888410827585927,-0.056965440201509086,-0.041602372006045836,-0.0456246419470202,0.007341479167513778,22
11,2.125179719924927,0.030276614541908525,0.2857642650604248,0.029002346852595094,25,2,50,"{'max_features': 25, 'min_samples_leaf': 2, 'n_estimators': 50}",-0.05176581815505368,-0.038255219688981705,-0.03830937798591287,-0.05676272548682366,-0.041736772714668996,-0.04536598280628818,0.00754153069088959,6
12,2.6941627979278566,0.07615884185409733,0.2948812961578369,0.023990609125133934,25,2,75,"{'max_features': 25, 'min_samples_leaf': 2, 'n_estimators': 75}",-0.051440873140435994,-0.03936261034684655,-0.03861961169824273,-0.056271360204995235,-0.04177790786931418,-0.04549447265196694,0.007073574575072125,10
13,3.323331689834595,0.08251342916235241,0.32019944190979005,0.023243395063742043,25,2,100,"{'max_features': 25, 'min_samples_leaf': 2, 'n_estimators': 100}",-0.0517680563232492,-0.03904874776006245,-0.038247812544441775,-0.056364823934051844,-0.04166962898057962,-0.04541981390847698,0.007296374450962233,8
14,4.104203081130981,0.11528547851362629,0.34467601776123047,0.03217433185695104,25,2,125,"{'max_features': 25, 'min_samples_leaf': 2, 'n_estimators': 125}",-0.051655635379222936,-0.038729864376774455,-0.03825676892442842,-0.05623796900733977,-0.04151559432615595,-0.0452791664027843,0.007309262743683367,4
15,4.497091627120971,0.04649586518827888,0.3439493179321289,0.02032890437968717,25,2,150,"{'max_features': 25, 'min_samples_leaf': 2, 'n_estimators': 150}",-0.051689010162218094,-0.03845506312109006,-0.03827717187055423,-0.056498911321335527,-0.0415668601771065,-0.04529740333046088,0.007434307508730979,5
16,5.888878583908081,0.22682278125339428,0.3791247844696045,0.018451711979426477,25,2,200,"{'max_features': 25, 'min_samples_leaf': 2, 'n_estimators': 200}",-0.051785461755502145,-0.038718926152550036,-0.038232982160237475,-0.05652113284519003,-0.04160012700434344,-0.04537172598356463,0.007414737321645213,7
