,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_leaf_nodes,param_n_estimators,params,split0_test_explained_variance,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,split0_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
36,0.39693188667297363,0.0,0.0,0.0,1,820,"{'max_leaf_nodes': 1, 'n_estimators': 820}",,,,887,,,,887,,,,886
37,0.3723280429840088,0.0,0.0,0.0,1,840,"{'max_leaf_nodes': 1, 'n_estimators': 840}",,,,886,,,,886,,,,885
38,0.3797793388366699,0.0,0.0,0.0,1,860,"{'max_leaf_nodes': 1, 'n_estimators': 860}",,,,885,,,,885,,,,884
39,0.3823738098144531,0.0,0.0,0.0,1,880,"{'max_leaf_nodes': 1, 'n_estimators': 880}",,,,884,,,,884,,,,883
40,0.38927340507507324,0.0,0.0,0.0,1,900,"{'max_leaf_nodes': 1, 'n_estimators': 900}",,,,883,,,,883,,,,882
41,0.39254140853881836,0.0,0.0,0.0,1,920,"{'max_leaf_nodes': 1, 'n_estimators': 920}",,,,882,,,,882,,,,877
42,0.39862990379333496,0.0,0.0,0.0,1,940,"{'max_leaf_nodes': 1, 'n_estimators': 940}",,,,881,,,,881,,,,881
43,0.40233612060546875,0.0,0.0,0.0,1,960,"{'max_leaf_nodes': 1, 'n_estimators': 960}",,,,880,,,,880,,,,880
44,0.40459299087524414,0.0,0.0,0.0,1,980,"{'max_leaf_nodes': 1, 'n_estimators': 980}",,,,879,,,,879,,,,879
45,18.066165924072266,0.0,0.03126335144042969,0.0,11,100,"{'max_leaf_nodes': 11, 'n_estimators': 100}",0.34386334627750414,0.34386334627750414,0.0,725,-0.2039506406301424,-0.2039506406301424,0.0,401,-0.061269502237963465,-0.061269502237963465,0.0,372
46,21.121466875076294,0.0,0.031519174575805664,0.0,11,120,"{'max_leaf_nodes': 11, 'n_estimators': 120}",0.34443183155682955,0.34443183155682955,0.0,679,-0.20379233549865866,-0.20379233549865866,0.0,351,-0.06121109147994345,-0.06121109147994345,0.0,337
47,25.669851779937744,0.0,0.03894448280334473,0.0,11,140,"{'max_leaf_nodes': 11, 'n_estimators': 140}",0.3438648606055785,0.3438648606055785,0.0,724,-0.20395352812493875,-0.20395352812493875,0.0,402,-0.06129524027286726,-0.06129524027286726,0.0,384
48,27.954134702682495,0.0,0.03804826736450195,0.0,11,160,"{'max_leaf_nodes': 11, 'n_estimators': 160}",0.34419561184215286,0.34419561184215286,0.0,704,-0.20394655381442908,-0.20394655381442908,0.0,400,-0.06129211947451542,-0.06129211947451542,0.0,383
49,31.457325220108032,0.0,0.04089164733886719,0.0,11,180,"{'max_leaf_nodes': 11, 'n_estimators': 180}",0.34393034497933006,0.34393034497933006,0.0,722,-0.2039588900240973,-0.2039588900240973,0.0,403,-0.061290066849227665,-0.061290066849227665,0.0,382
50,34.99633312225342,0.0,0.04481983184814453,0.0,11,200,"{'max_leaf_nodes': 11, 'n_estimators': 200}",0.344400021635499,0.344400021635499,0.0,681,-0.2038777950430284,-0.2038777950430284,0.0,374,-0.06125926984329602,-0.06125926984329602,0.0,363
51,38.492305517196655,0.0,0.04709005355834961,0.0,11,220,"{'max_leaf_nodes': 11, 'n_estimators': 220}",0.344460313572839,0.344460313572839,0.0,678,-0.2038794398395082,-0.2038794398395082,0.0,376,-0.06125407435938049,-0.06125407435938049,0.0,359
52,41.8169527053833,0.0,0.050290822982788086,0.0,11,240,"{'max_leaf_nodes': 11, 'n_estimators': 240}",0.3444993138717063,0.3444993138717063,0.0,677,-0.20381179689340923,-0.20381179689340923,0.0,357,-0.06122287485197992,-0.06122287485197992,0.0,339
53,46.70603537559509,0.0,0.06245541572570801,0.0,11,260,"{'max_leaf_nodes': 11, 'n_estimators': 260}",0.3443114417509149,0.3443114417509149,0.0,688,-0.20379661382226072,-0.20379661382226072,0.0,352,-0.06119222239742298,-0.06119222239742298,0.0,336
54,48.99188756942749,0.0,0.056809425354003906,0.0,11,280,"{'max_leaf_nodes': 11, 'n_estimators': 280}",0.34423308189185897,0.34423308189185897,0.0,701,-0.20388724890510568,-0.20388724890510568,0.0,381,-0.0612496596569489,-0.0612496596569489,0.0,354
55,52.09820747375488,0.0,0.059616804122924805,0.0,11,300,"{'max_leaf_nodes': 11, 'n_estimators': 300}",0.34407139251679697,0.34407139251679697,0.0,718,-0.2038865276513083,-0.2038865276513083,0.0,380,-0.061251591569246124,-0.061251591569246124,0.0,358
56,55.91606426239014,0.0,0.06434988975524902,0.0,11,320,"{'max_leaf_nodes': 11, 'n_estimators': 320}",0.34410094547135106,0.34410094547135106,0.0,716,-0.20385788523174478,-0.20385788523174478,0.0,366,-0.061235281012410554,-0.061235281012410554,0.0,343
57,59.1064612865448,0.0,0.06661224365234375,0.0,11,340,"{'max_leaf_nodes': 11, 'n_estimators': 340}",0.34429666298317385,0.34429666298317385,0.0,690,-0.20385936752772432,-0.20385936752772432,0.0,367,-0.06125104938780478,-0.06125104938780478,0.0,356
58,62.53957986831665,0.0,0.07031965255737305,0.0,11,360,"{'max_leaf_nodes': 11, 'n_estimators': 360}",0.34429087583904905,0.34429087583904905,0.0,692,-0.2038535841910592,-0.2038535841910592,0.0,364,-0.06123667190921223,-0.06123667190921223,0.0,344
